first_name,lastname,email,Phone,Address,City,State,Zip
Roger,Baker,roger1@gmail.com,571-552-9999,"234 Southpoint Dr",Reston,Virginia,20191
Ryan,Simethy,rkjhkjh@gmail.com,757-545-9875,asd123abc123ab,Ashburnoioiu,Vermont,123123
asd,asd,asd@hotmail.com2,757-545-9875,231,Chantilly,Virginia,20151
Tom,Berry,akmalm@hotmail.com,757-545-987,231,Chantilly,Virginia,20151
Village,Creek,akmalm@hotmail.com345,8129457547,"231 Greenbriar Road2",Chantilly2,Iowa,201512
Akhmal,Mahmud,akmalm@hotmail.com1,757-545-9875,231,Chantilly123,Virginia,20151
Village,Creek,akmalm@hotmail.com345,8129457547,hkjhkjhkjhkh,Chantilly2,Alabama,201512
Village,Creek,akmalm@hotmail.com345,8129457547,hkjhkjhkjhkh,Chantilly2,Alabama,201512
Village,Creek,akmalm@hotmail.com345,8129457547,hkjhkjhkjhkh,Chantilly2,Alabama,201512
Village,Creek,akmalm@hotmail.com345,8129457547,hkjhkjhkjhkh,Chantilly2,Alabama,201512
Village,Creek,akmalm@hotmail.com345,8129457547,hkjhkjhkjhkh,Chantilly2,Alabama,201512
Village,Creek,akmalm@hotmail.com345,8129457547,hkjhkjhkjhkh,Chantilly2,Alabama,201512
Village,Creek,akmalm@hotmail.com345,8129457547,hkjhkjhkjhkh,Chantilly2,Alabama,201512
Village,Creek,akmalm@hotmail.com345,8129457547,hkjhkjhkjhkh,Chantilly2,Alabama,201512
